time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/std,train/explained_variance
1,10676,1281.0016063125,1000.0,1,16384,,,,,,,,,,,
3,9987,1287.0313488124998,1000.0,2,32768,0.003084311602583182,1313,0.2,3.717016126798547,0.3367583786231884,0.0030104442798208606,0.0003,0.038008206,0.0031586047261953354,0.17816245555877686,0.9227035045623779
5,9546,1278.1576710833333,1000.0,3,49152,-0.0027183875821979848,1317,0.2,3.7182902970484326,0.37208775111607145,0.0028730885023833252,0.0003,0.035314173,-0.0011086161248385906,0.17823226749897003,0.8968116641044617
6,9390,1278.6801010625,1000.0,4,65536,-0.00017326734960079193,1320,0.2,3.709428038095173,0.34821134868421055,0.004988440466848643,0.0003,0.030266656,0.002351173432543874,0.17851917445659637,0.830711841583252
8,9134,1280.698104675,1000.0,5,81920,-0.006238409595523006,1325,0.2,3.698962613471649,0.3786237224842767,0.0031045109352811516,0.0003,0.03326693,-0.014532094821333885,0.1785271167755127,0.8485315442085266
10,9198,1280.0261977916668,1000.0,6,98304,0.0025252993576162096,1328,0.2,3.6979555232184276,0.3506417410714286,0.0037509602743999236,0.0003,0.035264764,-0.003730779280886054,0.17856889963150024,0.899117112159729
12,9158,1283.28870572,1000.0,7,114688,-0.0010517562216479485,1332,0.2,3.70160635747866,0.3608911244292237,0.0033617489402433306,0.0003,0.03206174,0.008061008527874947,0.17858944833278656,0.8840615153312683
14,9100,1278.74278294,1000.0,8,131072,-0.005438443014833108,1336,0.2,3.6860480770665642,0.3739847191629956,0.0032099493033568567,0.0003,0.035845775,-0.026386072859168053,0.17877137660980225,0.8992875814437866
16,9035,1277.06021581,1000.0,9,147456,-0.004758998135820139,1341,0.2,3.7045446115991343,0.3632529438405797,0.004095358331181595,0.0003,0.036902152,-0.01788962259888649,0.17837785184383392,0.823536217212677
18,9017,1280.6561632299997,1000.0,10,163840,-0.0016188777549864931,1345,0.2,3.7062552361576646,0.3691948784722222,0.005808930305108704,0.0003,0.031826433,-0.026868000626564026,0.17864353954792023,0.7649996876716614
20,9003,1274.9341588599998,1000.0,11,180224,-0.000974389890141718,1349,0.2,3.7028776707949937,0.35705236486486486,0.003579528596428399,0.0003,0.030559631,-0.01121755875647068,0.1785912960767746,0.8584185838699341
21,8968,1269.98594866,1000.0,12,196608,-0.0031879809343834118,1353,0.2,3.707347166949305,0.3813813308189655,0.0038149872722489566,0.0003,0.03497778,-0.03386380150914192,0.17846859991550446,0.8658425807952881
23,9034,1268.38281482,1000.0,13,212992,0.008169788809027523,1354,0.2,3.711566746234894,0.28173828125,0.008601590641774237,0.0003,0.021786997,0.022131120786070824,0.17837567627429962,0.8068159818649292
25,8977,1264.9860015300003,1000.0,14,229376,-0.008511245981790126,1359,0.2,3.707067037423452,0.36852864583333333,0.004017836654869219,0.0003,0.033339724,-0.029195066541433334,0.17856793105602264,0.8573299646377563
27,9002,1268.15807231,1000.0,15,245760,0.0012367769413914695,1362,0.2,3.694635031358251,0.34384827044025157,0.0035293909381348756,0.0003,0.031516083,-0.016618311405181885,0.17876847088336945,0.8396561741828918
29,8914,1265.80250508,1000.0,16,262144,-0.008068078810174484,1367,0.2,3.6848659493029117,0.36728515625,0.003378227500797948,0.0003,0.033420853,-0.012401304207742214,0.17891085147857666,0.8609903454780579
31,8929,1269.17939642,1000.0,17,278528,-0.0007757127147029947,1370,0.2,3.6816707515211964,0.3631159060846561,0.004205244063601765,0.0003,0.032704838,-0.018649514764547348,0.17878152430057526,0.841745913028717
33,8852,1262.1131795,1000.0,18,294912,-0.009657550091262158,1377,0.2,3.686301048385029,0.3769862288135593,0.0044641345592788435,0.0003,0.03421512,-0.01205430831760168,0.17866401374340057,0.7944855093955994
35,8886,1269.65652653,1000.0,19,311296,0.006951627311840032,1379,0.2,3.6890350659688314,0.3451171875,0.00468185247736983,0.0003,0.031719852,0.019951026886701584,0.17881877720355988,0.8412556648254395
36,8927,1273.62591968,1000.0,20,327680,0.005119885450486488,1381,0.2,3.683903649570496,0.3355881605691057,0.0032304759691961535,0.0003,0.029947396,0.014700966887176037,0.17877741158008575,0.8405885696411133
38,8959,1269.13062243,1000.0,21,344064,0.0049590012742155186,1383,0.2,3.6884200551094266,0.3152952981651376,0.0033412567796954596,0.0003,0.028701946,-0.010701222345232964,0.17875759303569794,0.8950530290603638
40,8934,1268.73999949,1000.0,22,360448,-0.007622779334156678,1388,0.2,3.6988566875457765,0.3666082974137931,0.0048810256893971355,0.0003,0.03109514,-0.016764402389526367,0.1785372942686081,0.8648877739906311
42,8940,1275.3220404699998,1000.0,23,376832,-0.003387344031765753,1392,0.2,3.703202652687929,0.3570033482142857,0.003183279624232566,0.0003,0.03795547,-0.010098039172589779,0.178521528840065,0.9146451950073242
43,8974,1282.7575646,1000.0,24,393216,0.008070702218295386,1394,0.2,3.7092308969724748,0.3191499255952381,0.002653818879653478,0.0003,0.031339068,0.0014486723812296987,0.17839480936527252,0.8575286269187927
45,8989,1283.0428382,1000.0,25,409600,0.0021690813174908177,1397,0.2,3.7219200325600896,0.34888599537037035,0.0024764299123938897,0.0003,0.03065591,-0.02104097791016102,0.17816638946533203,0.8869271278381348
47,9004,1281.2329656,1000.0,26,425984,0.0017984141113943067,1400,0.2,3.7179424253003353,0.3488415948275862,0.002956070355942537,0.0003,0.029533453,-0.014429187402129173,0.17842936515808105,0.8907387852668762
49,8971,1286.6433003800003,1000.0,27,442368,-0.008107215257167628,1405,0.2,3.709695406140589,0.3578839708201893,0.0034510151920869522,0.0003,0.030479683,-0.013318796642124653,0.1783643513917923,0.9046438336372375
51,8947,1293.2764694900002,1000.0,28,458752,-0.008297070494986005,1410,0.2,3.7264837382675764,0.3629641842532468,0.002354911747373423,0.0003,0.03335103,-0.014941411092877388,0.17814145982265472,0.8581517934799194
52,8975,1290.4212802999998,1000.0,29,475136,0.004676458838262728,1412,0.2,3.732817895071847,0.3281994047619048,0.002499027166604286,0.0003,0.028486812,-0.0010919156484305859,0.17806656658649445,0.8692423701286316
54,9006,1285.7027516299997,1000.0,30,491520,0.015446385390879143,1413,0.2,3.736509894567823,0.30065724206349204,0.004152550314006115,0.0003,0.021795731,0.12224281579256058,0.17806582152843475,0.86882483959198
56,8995,1285.0110636699999,1000.0,31,507904,-0.007358183780172479,1418,0.2,3.7414970176164495,0.3698370881782946,0.003141885365236753,0.0003,0.03842128,-0.04389921575784683,0.17789065837860107,0.9052645564079285
58,8980,1277.1703655000001,1000.0,32,524288,-0.00556319391381623,1423,0.2,3.7454441285902456,0.3750280017921147,0.004185144997312016,0.0003,0.03737489,-0.014379983767867088,0.17798899114131927,0.8067542910575867
60,8972,1270.45328251,1000.0,33,540672,-0.0032054725141216324,1427,0.2,3.738023482520005,0.36555428340517243,0.00631051829409914,0.0003,0.033398516,-0.01924426667392254,0.17812252044677734,0.8125160336494446
61,8992,1248.18388317,994.33,34,557056,0.005309763048082972,1429,0.2,3.7347172549647145,0.33991052350427353,0.008327143250877021,0.0003,0.029061535,0.0040231430903077126,0.17809341847896576,0.7854908108711243
63,9021,1234.8026035,994.33,35,573440,0.014279817046104547,1431,0.2,3.7395532727241516,0.3018152573529412,0.011072112822576481,0.0003,0.037966613,0.0079056266695261,0.17794203758239746,0.7970637083053589
65,9008,1219.69949515,994.33,36,589824,-0.005071290016108317,1435,0.2,3.7431663284151573,0.3629275344488189,0.01070892106096341,0.0003,0.031418562,-0.0054327878169715405,0.17797459661960602,0.8151838779449463
67,9011,1213.4909956000001,994.33,37,606208,0.002448114131479279,1438,0.2,3.737330858644686,0.3509457236842105,0.00855914846454796,0.0003,0.032423224,0.014835762791335583,0.17790554463863373,0.8202489614486694
69,8997,1211.53328379,994.33,38,622592,-0.0012876363090648956,1443,0.2,3.7373748150317123,0.3800918044747082,0.006216019431875605,0.0003,0.04814876,-0.03407418355345726,0.17802666127681732,0.8159978985786438
71,8977,1215.48341576,994.33,39,638976,-0.011035319604554478,1449,0.2,3.721672581301795,0.3660300925925926,0.0066888970351651495,0.0003,0.042520314,-0.028905028477311134,0.17832942306995392,0.8798139691352844
73,8964,1217.41082188,994.33,40,655360,-0.008631897580424517,1454,0.2,3.7286054413894125,0.3756600215517241,0.005684195279850271,0.0003,0.0365641,-0.013393283821642399,0.1780261993408203,0.8330889940261841
74,8972,1231.05747397,1000.0,41,671744,0.0025686015792447947,1457,0.2,3.7431768844867577,0.3443157327586207,0.006476357370486547,0.0003,0.03337633,-0.01559031568467617,0.17793190479278564,0.8353171944618225
76,8954,1242.61083288,1000.0,42,688128,-0.007172924907659583,1463,0.2,3.72832508146027,0.3861400462962963,0.0054705849163130755,0.0003,0.04186012,-0.010571491904556751,0.17824602127075195,0.8091599941253662
78,8933,1240.29107929,1000.0,43,704512,-0.008689965514704676,1469,0.2,3.7221593253496215,0.37455935594512196,0.006829133180606111,0.0003,0.041754246,-0.03928016498684883,0.1782689243555069,0.7790469527244568
80,8906,1245.47141093,1000.0,44,720896,-0.0071366924692638665,1474,0.2,3.7285170698015473,0.36832117507886436,0.006585249169039237,0.0003,0.033728056,-0.0008732294663786888,0.17824167013168335,0.808962345123291
82,8909,1246.1228672900002,1000.0,45,737280,0.0035720689400554973,1477,0.2,3.725498187626507,0.3501218971631206,0.0058585334030898115,0.0003,0.03515121,0.014650588855147362,0.17811770737171173,0.8063313364982605
84,8881,1243.0779005900001,1000.0,46,753664,-0.005639282429306689,1482,0.2,3.7339929184671177,0.3654528601694915,0.00729984552520564,0.0003,0.034612,0.008697973564267159,0.17787308990955353,0.7543134093284607
87,8850,1241.55487863,1000.0,47,770048,-0.007911030624416612,1488,0.2,3.764405574117388,0.37750082671957674,0.009283864350802211,0.0003,0.032884933,0.003643401199951768,0.17756949365139008,0.7209426164627075
88,8851,1236.74010956,1000.0,48,786432,0.00039483607513830066,1492,0.2,3.76257796049118,0.3650390625,0.0068947034678421915,0.0003,0.03823778,-0.006713857874274254,0.17771553993225098,0.766385018825531
90,8869,1241.2530825300003,1000.0,49,802816,0.013707211435151597,1493,0.2,3.7584676345189414,0.30712890625,0.014305520123646906,0.0003,0.02352514,0.01875051110982895,0.17776377499103546,0.7635625004768372
92,8874,1243.6972086,1000.0,50,819200,0.0066468667100707535,1495,0.2,3.750274185091257,0.3551025390625,0.0062334752874448895,0.0003,0.029479837,0.01363133080303669,0.1778545379638672,0.8063686490058899
94,8867,1241.22957711,1000.0,51,835584,0.0062836122092311125,1498,0.2,3.7488599130601594,0.3440163352272727,0.006456753605920257,0.0003,0.0374589,-0.0034197154454886913,0.17771406471729279,0.8169575333595276
96,8862,1248.2767082500002,1000.0,52,851968,0.0021764487000070065,1501,0.2,3.7593383631074286,0.35436276355421686,0.006124106686034924,0.0003,0.030493563,0.0014488680753856897,0.1777070015668869,0.8044353127479553
98,8857,1240.86306955,1000.0,53,868352,-0.004212307319479439,1505,0.2,3.7388515397022837,0.3684689970355731,0.007029321353897276,0.0003,0.03376214,-0.011877218261361122,0.17820803821086884,0.8408862948417664
100,8834,1242.0263873200001,1000.0,54,884736,-0.009408354770062457,1511,0.2,3.7161838201262194,0.36910423136645965,0.006667161186844666,0.0003,0.040463448,-0.03928934410214424,0.1783137321472168,0.8578847050666809
102,8827,1242.84040374,1000.0,55,901120,-0.004024986271181796,1515,0.2,3.709236815219789,0.3774913877952756,0.007246086329009061,0.0003,0.03440677,-0.016567835584282875,0.17840273678302765,0.7910065650939941
103,8826,1241.33563232,1000.0,56,917504,-0.0030709046893337344,1519,0.2,3.7048876147185053,0.37367466517857145,0.007488707246791039,0.0003,0.033454306,-0.010331125929951668,0.17843545973300934,0.8407098650932312
105,8812,1245.22414631,1000.0,57,933888,-0.008507384252204687,1525,0.2,3.743291949083705,0.380672249251497,0.006871118834158573,0.0003,0.036070168,-0.007002790458500385,0.17767369747161865,0.8031847476959229
107,8829,1241.84611904,1000.0,58,950272,0.013013494494434905,1527,0.2,3.7629426505467665,0.3417701198630137,0.007713192927153552,0.0003,0.036758475,0.01706327311694622,0.17760567367076874,0.814757227897644
109,8812,1251.8540313900003,1000.0,59,966656,-0.007955473522380204,1533,0.2,3.777233797395733,0.37129181338028167,0.005575294586055925,0.0003,0.033878814,-0.012357722036540508,0.177265927195549,0.7764154672622681
111,8825,1251.5079564300001,1000.0,60,983040,0.007916523681099836,1535,0.2,3.791313866774241,0.3430989583333333,0.004675481231727948,0.0003,0.02947508,0.014027741737663746,0.17706911265850067,0.8248733282089233
113,8822,1250.3598396399998,1000.0,61,999424,-0.004717383794486523,1539,0.2,3.8020034065246584,0.373078125,0.005938374229706824,0.0003,0.034194432,-0.005795428529381752,0.17691576480865479,0.8186120390892029
115,8820,1240.6304566200001,1000.0,62,1015808,-0.0027100423964756455,1543,0.2,3.7953557643023403,0.37386363636363634,0.007777623057534749,0.0003,0.03323805,-0.028219789266586304,0.1772395819425583,0.8284022808074951
